600,600,0.019295,3391894,7274382,37
1000,1000,0.074364,15713329,33176401,140721969051428
1400,1400,0.268530,43466182,86148931,37
1800,1800,0.593615,93542322,182987370,140723002041764
2200,2200,0.989441,258849333,335226636,140723796210084
2600,2600,1.653627,549862681,548377373,37
3000,3000,4.366434,845453655,777531846,140532735422288
4096,4096,8.016956,2197788860,2099607773,140724851244580
6144,6144,28.141922,7441538335,7095433624,140043488968528
8192,8192,81.100662,17453944606,16453731577,140480266164976
10240,10240,185.306508,34342590444,30614865339,37
